Chromatogram,RT [min],Area
EIC 181.0706 -All MS,4.2,914214
EIC 179.0553 -All MS,4.3,451605
EIC 214.0470 -All MS,5.9,245532
EIC 683.2230 -All MS,6.1,3435947
EIC 487.1758 -All MS,6.7,1005516
EIC 487.1758 -All MS,7.9,1399135
EIC 544.0000 -All MS,8.2,37732
EIC 975.3405 -All MS,8.7,992899
EIC 503.1582 -All MS,9.6,676206
EIC 503.1582 -All MS,10.2,178162
EIC 633.2222 -All MS,10.9,183830
EIC 706.2390 -All MS,12.3,5590165
EIC 852.2964 -All MS,15.9,1240224
EIC 909.3186 -All MS,16.5,3651241
EIC 852.2964 -All MS,18.7,5099451
EIC 998.3554 -All MS,23.3,156655
EIC 1071.0000 -All MS,25.1,137842
EIC 998.3554 -All MS,26.1,3672545
EIC 608.2067 -All MS,32,193608
EIC 608.2067 -All MS,34.8,635420
EIC 608.2067 -All MS,37.1,780914
EIC 681.2386 -All MS,46.5,525753
EIC 790.7720 -All MS,51.4,145473
EIC 681.2386 -All MS,51.9,3845434
EIC 681.2386 -All MS,57.8,2697904
EIC 790.7720 -All MS,58,151610
EIC 790.7720 -All MS,63.7,161790
EIC 754.2654 -All MS,64.1,78786
EIC 790.7720 -All MS,69.5,545908
EIC 790.7720 -All MS,73.7,540924
EIC 754.2654 -All MS,74.2,706818
EIC 790.7720 -All MS,77.9,166923
EIC 754.2654 -All MS,81.4,1591337
